word,transcription,translation,example_en,example_ru,audio_url
equipment,[ɪˈkwɪpmənt],оборудование,We need new equipment.,Нам нужно новое оборудование.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/equipment--_us_1.mp3
contestant,[kənˈtestənt],участник соревнования,The contestant won.,Участник выиграл.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/contestant--_us_1.mp3
bend,[bend],гнуть; изгиб,Bend your knees.,Согни колени.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/bend--_us_1.mp3
satisfaction,[ˌsætɪsˈfækʃən],удовлетворение,With great satisfaction.,С большим удовлетворением.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/satisfaction--_us_1.mp3
influence,[ˈɪnfluəns],влияние; влиять,He has influence.,Он имеет влияние.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/influence--_us_1.mp3
instead,[ɪnˈsted],вместо,Instead of that.,Вместо этого.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/instead--_us_1.mp3
express,[ɪkˈspres],выражать; экспресс,I can't express my feelings.,Я не могу выразить свои чувства.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/express--_us_1.mp3
opportunity,[ˌɑːpərˈtuːnəti],возможность,This is a great opportunity.,Это отличная возможность.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/opportunity--_us_1.mp3
below,[bɪˈloʊ],ниже,See below.,Смотри ниже.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/below--_us_1.mp3
late,[leɪt],поздний; поздно,Don't be late.,Не опаздывай.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/late--_us_1.mp3
rainy,[ˈreɪni],дождливый,It's a rainy day.,Дождливый день.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/rainy--_us_1.mp3
blow,[bloʊ],дуть; удар,The wind blows.,Ветер дует.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/blow--_us_1.mp3
look like,[lʊk laɪk],выглядеть как,You look like your father.,Ты похож на отца.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/look--_us_1.mp3
ruin,[ˈruːɪn],руины; разрушать,Don't ruin it.,Не разрушай это.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/ruin--_us_1.mp3
kind,[kaɪnd],добрый; вид,Be kind.,Будь добрым.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/kind--_us_1.mp3
hang,[hæŋ],вешать; висеть,Hang the picture.,Повесь картину.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/hang--_us_1.mp3
sad,[sæd],грустный,Don't be sad.,Не грусти.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/sad--_us_1.mp3
ground,[ɡraʊnd],земля; почва,The ground is wet.,Земля мокрая.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/ground--_us_1.mp3
rainfall,[ˈreɪnfɔːl],осадки,The rainfall was heavy.,Осадки были обильными.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/rainfall--_us_1.mp3
degree,[dɪˈɡriː],степень; градус,It's 20 degrees.,20 градусов.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/degree--_us_1.mp3
shout,[ʃaʊt],кричать,Don't shout.,Не кричи.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/shout--_us_1.mp3
sweater,[ˈswetər],свитер,Put on a sweater.,Надень свитер.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/sweater--_us_1.mp3
hairdresser,[ˈherdresər],парикмахер,Go to the hairdresser.,Иди к парикмахеру.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/hairdresser--_us_1.mp3
report,[rɪˈpɔːrt],отчёт; сообщать,Write a report.,Напиши отчёт.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/report--_us_1.mp3
currently,[ˈkɜːrəntli],в настоящее время,Currently I'm studying.,В настоящее время я учусь.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/currently--_us_1.mp3
cheer up,[tʃɪr ʌp],подбодрить,Cheer up!,Взбодрись!,https://ssl.gstatic.com/dictionary/static/sounds/20200429/cheer--_us_1.mp3
burnout,[ˈbɜːrnaʊt],выгорание,He suffers from burnout.,Он страдает от выгорания.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/burnout--_us_1.mp3
stray,[streɪ],бродячий; заблудившийся,The stray dog was friendly.,Бродячая собака была дружелюбной.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/stray--_us_1.mp3
shepherd dog,[ˈʃepərd dɔːɡ],овчарка,The shepherd dog is smart.,Овчарка умная.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/shepherd--_us_1.mp3
breed,[briːd],порода; разводить,What breed is it?,Какая это порода?,https://ssl.gstatic.com/dictionary/static/sounds/20200429/breed--_us_1.mp3
decorate,[ˈdekəreɪt],украшать,Let's decorate the room.,Давайте украсим комнату.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/decorate--_us_1.mp3
trousers,[ˈtraʊzərz],брюки,These trousers are too big.,Эти брюки слишком большие.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/trousers--_us_1.mp3
reward,[rɪˈwɔːrd],награда; награждать,You deserve a reward.,Ты заслуживаешь награды.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/reward--_us_1.mp3
serve,[sɜːrv],подавать; служить,Serve the food.,Подай еду.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/serve--_us_1.mp3
noodle,[ˈnuːdəl],лапша,I like noodles.,Я люблю лапшу.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/noodle--_us_1.mp3
dish,[dɪʃ],блюдо; тарелка,What's your favorite dish?,Какое твоё любимое блюдо?,https://ssl.gstatic.com/dictionary/static/sounds/20200429/dish--_us_1.mp3
chef,[ʃef],шеф-повар,The chef is talented.,Шеф-повар талантливый.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/chef--_us_1.mp3
dessert,[dɪˈzɜːrt],десерт,What's for dessert?,Что на десерт?,https://ssl.gstatic.com/dictionary/static/sounds/20200429/dessert--_us_1.mp3
tip,[tɪp],чаевые; совет,Leave a tip.,Оставь чаевые.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/tip--_us_1.mp3
steak,[steɪk],стейк,I'll have a steak.,Я возьму стейк.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/steak--_us_1.mp3
order,[ˈɔːrdər],заказ; заказывать,Can I take your order?,Могу я принять ваш заказ?,https://ssl.gstatic.com/dictionary/static/sounds/20200429/order--_us_1.mp3
main course,[meɪn kɔːrs],основное блюдо,What's the main course?,Что на основное блюдо?,https://ssl.gstatic.com/dictionary/static/sounds/20200429/main--_us_1.mp3
starter,[ˈstɑːrtər],закуска,We'll have starters first.,Сначала возьмём закуски.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/starter--_us_1.mp3
bill,[bɪl],счёт,Can I have the bill?,Можно счёт?,https://ssl.gstatic.com/dictionary/static/sounds/20200429/bill--_us_1.mp3
menu,[ˈmenjuː],меню,Show me the menu.,Покажи мне меню.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/menu--_us_1.mp3
waiter,[ˈweɪtər],официант,The waiter is polite.,Официант вежливый.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/waiter--_us_1.mp3
side dish,[saɪd dɪʃ],гарнир,What side dish would you like?,Какой гарнир вы хотите?,https://ssl.gstatic.com/dictionary/static/sounds/20200429/side--_us_1.mp3
waitress,[ˈweɪtrəs],официантка,The waitress is friendly.,Официантка дружелюбная.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/waitress--_us_1.mp3
calmness,[ˈkɑːmnəs],спокойствие,I need calmness.,Мне нужно спокойствие.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/calmness--_us_1.mp3
tasty,[ˈteɪsti],вкусный,It's very tasty.,Это очень вкусно.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/tasty--_us_1.mp3
add,[æd],добавлять,Add some salt.,Добавь немного соли.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/add--_us_1.mp3
also,[ˈɔːlsoʊ],также,I also like it.,Мне это тоже нравится.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/also--_us_1.mp3
dumpling,[ˈdʌmplɪŋ],пельмень; клёцка,I love dumplings.,Я люблю пельмени.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/dumpling--_us_1.mp3
cuisine,[kwɪˈziːn],кухня,French cuisine is famous.,Французская кухня знаменита.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/cuisine--_us_1.mp3
safety regulations,[ˈseɪfti ˌreɡjuˈleɪʃənz],правила безопасности,Follow safety regulations.,Соблюдай правила безопасности.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/safety--_us_1.mp3
sew,[soʊ],шить,She can sew.,Она умеет шить.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/sew--_us_1.mp3
non-stop flight,[nɑːn stɑːp flaɪt],прямой рейс,We took a non-stop flight.,Мы взяли прямой рейс.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/flight--_us_1.mp3
get rid of,[ɡet rɪd ʌv],избавиться от,Get rid of it.,Избавься от этого.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/rid--_us_1.mp3
break a habit,[breɪk ə ˈhæbɪt],избавиться от привычки,It's hard to break a habit.,Трудно избавиться от привычки.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/habit--_us_1.mp3
try doing something,[traɪ ˈduːɪŋ ˈsʌmθɪŋ],попробовать сделать что-то,Try doing it differently.,Попробуй сделать это по-другому.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/try--_us_1.mp3
make a positive change,[meɪk ə ˈpɑːzətɪv tʃeɪndʒ],внести позитивные изменения,Make a positive change in your life.,Внеси позитивные изменения в свою жизнь.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/positive--_us_1.mp3
challenge yourself,[ˈtʃælɪndʒ jərˈself],бросить себе вызов,Challenge yourself every day.,Бросай себе вызов каждый день.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/challenge--_us_1.mp3
form a habit,[fɔːrm ə ˈhæbɪt],сформировать привычку,Form a habit of reading.,Сформируй привычку читать.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/habit--_us_1.mp3
reach a goal,[riːtʃ ə ɡoʊl],достичь цели,Work hard to reach your goal.,Упорно работай, чтобы достичь цели.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/goal--_us_1.mp3
challenge,[ˈtʃælɪndʒ],вызов; бросать вызов,It's a challenge.,Это вызов.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/challenge--_us_1.mp3
whereas,[werˈæz],тогда как,He likes tea whereas I prefer coffee.,Он любит чай, тогда как я предпочитаю кофе.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/whereas--_us_1.mp3
bird-watching,[bɜːrd ˈwɑːtʃɪŋ],наблюдение за птицами,Bird-watching is relaxing.,Наблюдение за птицами расслабляет.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/bird--_us_1.mp3
puzzle,[ˈpʌzəl],головоломка; пазл,I love puzzles.,Я люблю головоломки.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/puzzle--_us_1.mp3
photography,[fəˈtɑːɡrəfi],фотография,Photography is my hobby.,Фотография - моё хобби.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/photography--_us_1.mp3
collecting,[kəˈlektɪŋ],коллекционирование,Collecting stamps is fun.,Коллекционирование марок весело.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/collecting--_us_1.mp3
reading,[ˈriːdɪŋ],чтение,Reading is important.,Чтение важно.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/reading--_us_1.mp3
be a fan of,[biː ə fæn ʌv],быть фанатом,I'm a fan of this band.,Я фанат этой группы.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/fan--_us_1.mp3
really like,[ˈriːəli laɪk],очень нравиться,I really like it.,Мне это очень нравится.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/really--_us_1.mp3
quite like,[kwaɪt laɪk],довольно нравиться,I quite like it.,Мне это довольно нравится.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/quite--_us_1.mp3
can't stand,[kænt stænd],не выносить,I can't stand it.,Я не выношу это.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/stand--_us_1.mp3
don't mind,[doʊnt maɪnd],не возражать,I don't mind.,Я не возражаю.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/mind--_us_1.mp3
be crazy about,[biː ˈkreɪzi əˈbaʊt],сходить с ума по,I'm crazy about music.,Я схожу с ума по музыке.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/crazy--_us_1.mp3
enjoy,[ɪnˈdʒɔɪ],наслаждаться,I enjoy reading.,Я наслаждаюсь чтением.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/enjoy--_us_1.mp3
hate,[heɪt],ненавидеть,I hate waiting.,Я ненавижу ждать.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/hate--_us_1.mp3
love,[lʌv],любить,I love you.,Я люблю тебя.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/love--_us_1.mp3
like,[laɪk],нравиться; как,I like it.,Мне это нравится.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/like--_us_1.mp3
learning new languages,[ˈlɜːrnɪŋ nuː ˈlæŋɡwɪdʒɪz],изучение новых языков,Learning new languages is fun.,Изучение новых языков весело.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/learning--_us_1.mp3
DIY,[ˌdiː aɪ ˈwaɪ],сделай сам,DIY projects are rewarding.,Проекты "сделай сам" приносят удовлетворение.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/diy--_us_1.mp3
blogging,[ˈblɑːɡɪŋ],ведение блога,Blogging is popular.,Ведение блога популярно.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/blogging--_us_1.mp3
work out,[wɜːrk aʊt],тренироваться,I work out every day.,Я тренируюсь каждый день.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/work--_us_1.mp3
gardening,[ˈɡɑːrdənɪŋ],садоводство,Gardening is relaxing.,Садоводство расслабляет.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/gardening--_us_1.mp3
generous,[ˈdʒenərəs],щедрый,He is generous.,Он щедрый.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/generous--_us_1.mp3
revise,[rɪˈvaɪz],пересматривать; повторять,Revise your notes.,Пересмотри свои записи.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/revise--_us_1.mp3
textbook,[ˈtekstbʊk],учебник,Open your textbook.,Открой учебник.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/textbook--_us_1.mp3
once,[wʌns],один раз; когда-то,Once upon a time.,Однажды.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/once--_us_1.mp3
talk to,[tɔːk tuː],разговаривать с,Talk to me.,Поговори со мной.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/talk--_us_1.mp3
spend time on,[spend taɪm ɑːn],тратить время на,Don't spend time on that.,Не трать время на это.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/spend--_us_1.mp3
look at,[lʊk æt],смотреть на,Look at me.,Посмотри на меня.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/look--_us_1.mp3
wait for,[weɪt fɔːr],ждать,Wait for me.,Подожди меня.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/wait--_us_1.mp3
go out with,[ɡoʊ aʊt wɪð],встречаться с,He goes out with her.,Он встречается с ней.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/go--_us_1.mp3
listen to,[ˈlɪsən tuː],слушать,Listen to music.,Слушай музыку.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/listen--_us_1.mp3
come up to,[kʌm ʌp tuː],подойти к,Come up to me.,Подойди ко мне.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/come--_us_1.mp3
confuse,[kənˈfjuːz],путать,Don't confuse me.,Не путай меня.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/confuse--_us_1.mp3
oatmeal,[ˈoʊtmiːl],овсянка,I eat oatmeal for breakfast.,Я ем овсянку на завтрак.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/oatmeal--_us_1.mp3
icebreaker,[ˈaɪsbreɪkər],ледокол; разминка,The icebreaker helped us start talking.,Разминка помогла нам начать разговор.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/icebreaker--_us_1.mp3
behave,[bɪˈheɪv],вести себя,Behave yourself.,Веди себя хорошо.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/behave--_us_1.mp3
describe,[dɪˈskraɪb],описывать,Describe it to me.,Опиши это мне.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/describe--_us_1.mp3
big-hearted,[bɪɡ ˈhɑːrtɪd],великодушный,He is big-hearted.,Он великодушный.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/big--_us_1.mp3
beautiful inside and out,[ˈbjuːtɪfəl ɪnˈsaɪd ænd aʊt],красивый внутри и снаружи,She is beautiful inside and out.,Она красива внутри и снаружи.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/beautiful--_us_1.mp3
easy-going,[ˈiːzi ˈɡoʊɪŋ],легко общаться,He is easy-going.,С ним легко общаться.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/easy--_us_1.mp3
confident,[ˈkɑːnfɪdənt],уверенный,Be confident.,Будь уверенным.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/confident--_us_1.mp3
annoying,[əˈnɔɪɪŋ],раздражающий,That's annoying.,Это раздражает.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/annoying--_us_1.mp3
arrogant,[ˈærəɡənt],высокомерный,He is arrogant.,Он высокомерный.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/arrogant--_us_1.mp3
polite,[pəˈlaɪt],вежливый,Be polite.,Будь вежливым.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/polite--_us_1.mp3
smart,[smɑːrt],умный,You're smart.,Ты умный.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/smart--_us_1.mp3
charming,[ˈtʃɑːrmɪŋ],очаровательный,She is charming.,Она очаровательна.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/charming--_us_1.mp3
sensitive,[ˈsensətɪv],чувствительный,He is sensitive.,Он чувствительный.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/sensitive--_us_1.mp3
honest,[ˈɑːnɪst],честный,Be honest.,Будь честным.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/honest--_us_1.mp3
energetic,[ˌenərˈdʒetɪk],энергичный,She is energetic.,Она энергичная.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/energetic--_us_1.mp3
jealous,[ˈdʒeləs],ревнивый,Don't be jealous.,Не будь ревнивым.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/jealous--_us_1.mp3
